Year,Engine Size (L),Price (EUR),Price (USD)
2018,4.7,29621.004,34848.24
2012,4.3,53571.811,63025.66
2018,2.8,46435.755000000005,54630.3
2016,4.1,56255.567,66183.02
2011,3.5,44924.013,52851.78
2019,5.0,53258.2205,62656.73
2012,4.5,54487.006,64102.36
2015,3.0,47637.349,56043.94
2017,1.3,54821.6425,64496.05
2011,1.7,25614.053,30134.18
2010,1.7,15810.204000000002,18600.24
2011,4.1,44428.8455,52269.23
2016,4.4,48830.528,57447.68
2019,2.0,51897.7785,61056.21
2014,1.4,58568.6295,68904.27
2012,1.7,35854.4365,42181.69
2020,1.2,63196.02099999999,74348.26
2011,3.9,46994.4175,55287.55
2020,1.7,40276.5275,47384.15
2015,3.9,57240.82749999999,67342.15
2018,3.3,54449.538,64058.28
2020,2.4,43700.3445,51412.17
2017,1.7,46646.045,54877.7
2018,4.8,41156.847,48419.82
2013,3.4,66551.0135,78295.31
2012,2.9,52023.961,61204.66
2011,3.9,46865.124,55135.44
2015,4.0,33982.32,39979.2
2014,2.5,59341.662,69813.72
2015,1.0,31759.026,37363.56
2011,3.8,17780.453,20918.18
2018,2.7,25005.266,29417.96
2018,4.6,45704.772,53770.32
2018,4.1,19385.1595,22806.07
2011,3.7,49443.4715,58168.79
2018,1.9,62909.26499999999,74010.9
2018,1.7,67604.189,79534.34
2014,2.6,61312.3445,72132.17
2013,4.6,29844.537,35111.22
2018,2.9,58399.47099999999,68705.26
2019,4.4,30356.8405,35713.93
2018,1.5,64140.4475,75459.35
2020,3.3,44733.596,52627.76
2020,3.6,33151.734,39002.04
2016,3.3,15925.9485,18736.41
2020,3.2,34159.1115,40187.19
2014,2.0,31078.771,36563.26
2011,1.9,39874.962,46911.72
2013,3.9,30574.738,35970.28
2011,2.6,13418.049,15785.94
2018,4.6,28608.144,33656.64
2015,1.8,27212.155,32014.3
2018,4.6,15541.655,18284.3
2011,3.9,44744.8755,52641.03
2014,1.9,25751.821,30296.26
2018,2.5,16486.4895,19395.87
2019,4.3,31566.025,37136.5
2020,2.0,47534.5585,55923.01
2015,1.5,52800.5125,62118.25
2020,1.3,67496.88500000001,79408.1
2019,1.0,20030.3775,23565.15
2016,3.6,53328.949,62739.94
2015,3.6,57190.77099999999,67283.26
2011,1.4,61456.887,72302.22
2011,4.8,14540.8735,17106.91
2010,4.4,57191.774,67284.44
2011,4.5,53345.8385,62759.81
2016,2.0,30829.8145,36270.37
2016,4.8,51721.5565,60848.89
2017,3.2,15967.5475,18785.35
2020,3.3,14321.8455,16849.23
2018,1.9,24641.67,28990.2
2011,2.6,50495.7035,59406.71
2020,4.8,28813.2575,33897.95
2014,3.4,24213.6525,28486.65
2020,4.5,32270.0205,37964.73
2010,4.7,60536.141500000005,71218.99
2010,2.2,63888.2695,75162.67
2019,2.2,31556.4965,37125.29
2014,4.8,52595.569,61877.14
2019,2.1,21034.593,24746.58
2011,5.0,46572.7665,54791.49
2013,2.8,53928.216,63444.96
2017,1.6,56505.2885,66476.81
2015,2.3,38207.636,44950.16
2015,1.8,51996.7185,61172.61
2012,3.7,38049.6465,44764.29
2016,1.7,53374.628,62793.68
2015,1.9,41422.27649999999,48732.09
2010,2.7,56267.739,66197.34
2015,4.5,28649.335,33705.1
2012,2.7,30680.0105,36094.13
2013,2.2,48339.5425,56870.05
2013,4.0,53391.322,62813.32
2018,1.4,40080.2625,47153.25
2015,2.6,20093.116,23638.96
2018,1.3,32332.249,38037.94
2019,1.9,38027.7675,44738.55
2011,2.3,54312.535,63897.1
2020,3.6,59244.745,69699.7
2016,1.0,30052.1155,35355.43
2010,5.0,65866.84,77490.4
2018,3.9,65235.2645,76747.37
2013,4.3,51747.192500000005,60879.05
2013,2.5,28212.0865,33190.69
2019,3.3,14363.045,16897.7
2011,1.3,13976.6605,16443.13
2014,2.0,13420.8115,15789.19
2015,4.3,28047.6625,32997.25
2010,2.5,35143.5815,41345.39
2015,2.8,14905.9995,17536.47
2019,1.7,49836.21399999999,58630.84
2013,4.2,46235.563,54394.78
2014,3.0,52005.9835,61183.51
2016,4.3,62787.2135,73867.31
2012,2.4,58048.166000000005,68291.96
2014,1.5,49955.775,58771.5
2017,2.6,43555.9975,51242.35
2011,1.6,66984.0545,78804.77
2019,4.8,14667.4045,17255.77
2020,1.3,27921.276,32848.56
2015,4.4,45248.9935,53234.11
2016,1.3,27195.886,31995.16
2010,1.8,61355.0825,72182.45
2010,1.4,23920.1305,28141.33
2019,2.2,66519.82699999999,78258.62
2016,3.5,16443.403,19345.18
2015,2.1,12801.561,15060.66
2013,3.4,60981.975,71743.5
2012,2.1,39600.4035,46588.71
2016,2.7,63456.90299999999,74655.18
2015,1.6,64382.281,75743.86
2011,2.0,65406.65,76949.0
2011,4.0,44375.7035,52206.71
2013,4.6,35784.5495,42099.47
2010,2.9,37936.401,44631.06
2018,4.1,40383.483,47509.98
2013,4.6,15309.061,18010.66
2016,2.3,31296.983,36819.98
2014,1.7,43650.6705,51353.73
2020,1.5,23193.0745,27285.97
2015,1.6,26106.4325,30713.45
2012,4.8,23810.3275,28012.15
2020,3.0,31438.508,36986.48
2015,4.7,38646.0065,45465.89
2013,2.9,15983.7995,18804.47
2017,1.6,67285.95749999999,79159.95
2016,2.9,45747.068,53820.08
2013,4.1,38974.1065,45851.89
2012,3.0,22240.0375,26164.75
2017,2.6,66537.88949999999,78279.87
2020,2.8,24311.615,28601.9
2017,1.6,52705.814,62006.84
2010,3.9,27816.4625,32725.25
2018,2.7,19903.8295,23416.27
2015,3.2,23589.2085,27752.01
2015,1.1,40055.6805,47124.33
2016,4.9,44455.8415,52300.99
2014,3.7,50218.085,59080.1
2016,1.0,50213.4355,59074.63
2019,2.9,23941.44,28166.4
2017,1.2,30588.813999999995,35986.84
2011,2.2,15317.6885,18020.81
2012,4.4,30399.791,35764.46
2014,4.0,47961.1565,56424.89
2010,4.1,17177.871,20209.26
2010,3.7,61332.906,72156.36
2014,4.3,17945.4125,21112.25
2015,3.2,31347.1925,36879.05
2020,2.7,22262.7155,26191.43
2019,3.8,38380.1265,45153.09
2013,5.0,13722.3065,16143.89
2010,1.6,34365.729499999994,40430.27
2016,1.9,52718.513,62021.78
2013,2.9,57331.1825,67448.45
2015,2.2,27554.2035,32416.71
2011,2.0,16235.161499999998,19100.19
2010,1.5,36101.6675,42472.55
2019,3.2,21392.018,25167.08
2014,3.2,33488.283,39397.98
2013,1.7,38193.0755,44933.03
2014,2.6,22635.942,26630.52
2010,4.1,41486.171,48807.26
2017,4.2,39110.081,46011.86
2012,2.6,21175.5485,24912.41
2016,2.3,48925.56649999999,57559.49
2015,1.5,13578.92,15975.2
2018,2.9,42641.865,50166.9
2017,3.2,22419.209,26375.54
2012,2.1,29853.071,35121.26
2019,4.4,17607.121,20714.26
2011,4.3,23549.743,27705.58
2017,2.5,21353.156,25121.36
2015,2.0,52878.8485,62210.41
2017,1.2,59623.216,70144.96
2019,2.0,44096.7845,51878.57
2018,3.6,56670.54549999999,66671.23
2015,2.3,32993.9825,38816.45
2015,2.5,45228.245,53209.7
2018,4.9,35210.4085,41424.01
2018,4.6,62182.991,73156.46
2011,2.1,24207.2605,28479.13
2020,4.6,43306.5735,50948.91
2011,1.6,26080.7965,30683.29
2020,4.0,26578.786,31269.16
2011,2.3,20652.79,24297.4
2010,4.5,40585.7235,47747.91
2013,4.3,58857.1535,69243.71
2015,2.8,40951.6315,48178.39
2018,2.9,58121.5125,68378.25
2017,1.3,42117.585,49550.1
2013,2.7,13781.865999999998,16213.96
2013,1.4,48420.1055,56964.83
2018,4.8,45524.708,53558.48
2019,3.7,56828.569,66857.14
2012,1.5,38904.755000000005,45770.3
2020,4.2,39353.963,46298.78
2018,1.3,40734.737,47923.22
2019,2.2,24412.663,28720.78
2018,3.7,18195.27,21406.2
2010,2.6,55907.72149999999,65773.79
2014,1.2,67393.168,79286.08
2017,2.0,32911.812999999995,38719.78
2014,3.1,33832.346,39802.76
2019,2.6,52801.0055,62118.83
2017,3.1,34015.5125,40018.25
2017,4.1,24995.3295,29406.27
2016,4.6,43476.2845,51148.57
2018,5.0,29877.236500000003,35149.69
2020,4.7,30514.2775,35899.15
2010,1.0,35943.5335,42286.51
2011,2.7,24825.1595,29206.07
2015,4.8,44106.7635,51890.31
2011,2.9,53233.086,62627.16
2018,2.7,48775.635,57383.1
2015,3.1,25715.5685,30253.61
2018,2.1,42289.9735,49752.91
2014,2.8,27539.694,32399.64
2018,4.6,22197.7585,26115.01
2010,4.3,25197.043,29643.58
2015,2.4,40602.9105,47768.13
2012,1.8,48955.9455,57595.23
2017,4.1,42755.5015,50300.59
2014,4.6,37291.285,43872.1
2011,3.4,53734.79,63217.4
2012,3.7,57686.61,67866.6
2014,1.2,23677.3705,27855.73
2014,3.7,44818.273,52727.38
2020,2.1,48198.689,56704.34
2019,1.3,28351.4525,33354.65
2011,1.5,44658.2095,52539.07
2013,3.2,42663.914,50192.84
2011,2.8,67631.9415,79566.99
2020,3.6,47384.9755,55747.03
2014,3.8,61219.482,72022.92
2016,2.1,61259.6105,72070.13
2019,4.7,22700.576,26706.56
2015,4.2,45270.371,53259.26
2019,3.4,53517.2665,62961.49
2016,1.4,22758.597,26774.82
2014,2.4,39427.233,46384.98
2013,1.3,38954.157,45828.42
2018,4.7,41068.4385,48315.81
2012,4.1,41321.9935,48614.11
2012,3.6,59466.051,69960.06
2011,2.9,66740.9375,78518.75
2012,4.8,53850.7895,63353.87
2017,4.2,28136.8105,33102.13
2020,2.8,20269.27,23846.2
2012,3.3,36535.0825,42982.45
2010,4.7,35631.218,41919.08
2012,3.1,66333.9915,78039.99
2019,1.9,30294.595,35640.7
2010,3.0,23949.345,28175.7
2010,2.2,31211.354,36719.24
2017,3.2,65083.3015,76568.59
2018,3.2,62855.19649999999,73947.29
2020,3.1,38874.92,45735.2
2012,2.4,38233.068,44980.08
2014,3.1,32244.529,37934.74
2014,1.7,58691.59049999999,69048.93
2018,2.4,39181.6595,46096.07
2020,3.4,56139.491,66046.46
2012,2.7,34274.4735,40322.91
2010,2.9,36143.8785,42522.21
2014,2.6,19608.021,23068.26
2014,1.0,32361.778,38072.68
2017,1.4,55887.619,65750.14
2019,3.5,26010.527,30600.62
2010,4.9,20211.7165,23778.49
2011,1.3,67575.306,79500.36
2015,4.3,39291.870500000005,46225.73
2019,2.2,51575.5095,60677.07
2012,3.8,52979.463,62328.78
2019,2.0,14042.9265,16521.09
2017,2.3,39036.862,45925.72
2012,4.2,65884.469,77511.14
2018,5.0,55015.442500000005,64724.05
2020,2.8,31298.887,36822.22
2014,4.3,61997.2745,72937.97
2018,1.9,25601.881,30119.86
2010,4.3,62717.7515,73785.59
2018,3.8,14684.6935,17276.11
2020,4.1,13253.88,15592.8
2010,3.7,49400.7505,58118.53
2013,4.9,24399.573,28705.38
2017,3.8,14083.6925,16569.05
2020,1.6,22116.422,26019.32
2016,1.5,47144.74,55464.4
2016,3.3,65761.0065,77365.89
2010,4.8,29034.623,34158.38
2012,4.0,39616.1455,46607.23
2013,3.0,21387.8785,25162.21
2010,2.9,37958.518,44657.08
2017,2.6,55307.97,65068.2
2014,2.2,53612.6025,63073.65
2016,3.0,64441.7555,75813.83
2019,2.1,46493.1725,54697.85
2019,4.3,28970.499,34082.94
2015,4.2,22194.877,26111.62
2017,3.4,18830.696,22153.76
2017,1.8,39154.3915,46063.99
2012,4.2,22848.816,26880.96
2018,3.5,49668.8575,58433.95
2020,2.7,38333.5295,45098.27
2010,4.3,60946.666000000005,71701.96
2010,4.3,30203.6705,35533.73
2020,1.4,58557.656,68891.36
2019,4.2,24629.141,28975.46
2020,2.4,44301.014,52118.84
2012,3.8,13600.034,16000.04
2016,1.4,61311.5795,72131.27
2011,1.9,15121.329999999998,17789.8
2015,1.7,28086.21,33042.6
2020,1.9,37106.597,43654.82
2011,3.9,36154.342,42534.52
2019,2.2,20539.9015,24164.59
2016,4.2,13641.497,16048.82
2010,4.6,38827.082,45678.92
2012,1.9,57028.03,67091.8
2015,4.1,39780.2975,46800.35
2017,4.9,19113.967,22487.02
2014,4.4,26090.2655,30694.43
2011,4.3,67015.75099999999,78842.06
2010,4.3,24388.3445,28692.17
2011,3.2,16556.537999999997,19478.28
2016,1.5,32705.178,38476.68
2017,2.1,13205.906,15536.36
2017,4.0,21606.8385,25419.81
2020,4.8,28302.1695,33296.67
2011,4.0,24784.895,29158.7
2012,2.4,34556.342,40654.52
2010,1.5,31193.912,36698.72
2017,3.9,24473.523,28792.38
2010,4.5,38314.8465,45076.29
2015,3.5,48099.1795,56587.27
2012,2.9,32700.061,38470.66
2012,4.3,34289.9945,40341.17
2018,4.4,59134.10899999999,69569.54
2017,4.1,31483.0055,37038.83
2016,3.5,54633.104,64274.24
2019,1.3,64438.4065,75809.89
2016,2.7,42665.0785,50194.21
2019,3.4,36739.227,43222.62
2010,2.0,56988.488,67045.28
2019,4.0,36404.08899999999,42828.34
2017,4.0,42529.1805,50034.33
2011,3.9,60722.164,71437.84
2018,4.8,20095.1305,23641.33
2016,4.8,36649.7135,43117.31
2014,1.2,33279.3955,39152.23
2019,4.0,66313.3365,78015.69
2010,3.6,27724.569,32617.14
2012,2.0,57004.28949999999,67063.87
2015,3.9,33570.1125,39494.25
2011,4.4,52459.4075,61716.95
2020,2.4,51516.7745,60607.97
2015,2.4,53994.278,63522.68
2020,4.5,63870.70849999999,75142.01
2019,4.4,56029.076,65916.56
2016,3.8,19822.1105,23320.13
2011,4.4,54379.5575,63975.95
2019,4.0,24622.579,28967.74
2015,4.8,49147.6885,57820.81
2016,3.3,25197.2725,29643.85
2017,4.8,13005.374,15300.44
2011,1.5,17393.04,20462.4
2014,1.5,16520.464,19435.84
2017,2.8,29287.7275,34456.15
2020,3.7,26944.184,31699.04
2013,2.2,44607.9575,52479.95
2011,1.7,22140.46,26047.6
2017,2.8,24856.4225,29242.85
2010,2.5,35874.9725,42205.85
2012,4.9,44503.9515,52357.59
2019,2.5,66536.572,78278.32
2011,3.2,53373.013,62791.78
2012,2.7,24717.7365,29079.69
2015,3.0,38076.2685,44795.61
2010,1.1,16398.098,19291.88
2010,2.0,20799.0835,24469.51
2019,3.7,51965.6085,61136.01
2012,2.6,65150.936,76648.16
2013,2.1,22157.46,26067.6
2012,2.9,43186.4515,50807.59
2017,4.7,61671.648,72554.88
2013,3.5,43556.193,51242.58
2010,1.5,48206.0925,56713.05
2011,4.6,52651.4735,61942.91
2018,1.7,14860.8985,17483.41
2020,4.6,57745.0135,67935.31
2020,1.1,64632.742,76038.52
2020,1.9,43464.7415,51134.99
2014,2.7,47811.31,56248.6
2010,4.9,64160.805,75483.3
2018,2.1,67124.942,78970.52
2012,3.9,57364.247500000005,67487.35
2017,1.2,60741.8075,71460.95
2017,4.8,20745.6695,24406.67
2010,4.4,25162.0995,29602.47
2018,3.3,54822.1355,64496.63
2010,5.0,62260.426,73247.56
2011,3.0,15703.6055,18474.83
2010,2.4,41491.781,48813.86
2018,4.5,30443.523500000003,35815.91
2016,3.6,21506.4195,25301.67
2017,4.5,31949.3835,37587.51
2013,1.7,33568.54,39492.4
2013,3.0,40012.781,47073.86
2019,4.6,43029.5245,50622.97
2012,4.7,24605.6385,28947.81
2014,1.5,21741.81,25578.6
2010,1.2,30463.7875,35839.75
2017,3.9,26545.721,31230.26
2019,4.3,57887.55,68103.0
2019,2.0,20046.6635,23584.31
2017,4.0,58107.836,68362.16
2011,4.1,62283.019,73274.14
2016,4.8,67384.8125,79276.25
2011,1.2,47157.541,55479.46
2019,2.7,29336.033000000003,34512.98
2010,3.0,57765.91499999999,67959.9
2013,1.4,67885.4115,79865.19
2019,3.5,63994.9955,75288.23
2018,4.9,34623.3815,40733.39
2010,3.5,52997.1685,62349.61
2011,4.2,17507.2715,20596.79
2016,4.1,21840.9965,25695.29
2017,1.7,49821.186,58613.16
2014,1.8,18845.1205,22170.73
2011,1.4,54578.262,64209.72
2019,1.6,15570.538,18318.28
2017,2.1,13634.306,16040.36
2019,2.3,59952.6675,70532.55
2017,2.4,53329.3485,62740.41
2020,1.5,36672.8505,43144.53
2018,3.2,46357.0535,54537.71
2012,2.5,21163.2915,24897.99
2010,3.8,14739.722499999998,17340.85
2016,1.6,16382.364499999998,19273.37
2011,1.3,37254.5395,43828.87
2011,4.6,59424.0015,69910.59
2018,1.6,44583.1885,52450.81
2013,1.4,20656.5895,24301.87
2010,2.3,49392.0295,58108.27
2016,2.4,52777.333,62090.98
2010,2.8,67572.59449999999,79497.17
2015,3.9,14007.1245,16478.97
2010,2.3,55390.3775,65165.15
2019,3.5,60593.916000000005,71286.96
2013,2.7,34094.18,40110.8
2012,1.7,42614.257,50134.42
2016,1.6,50777.487,59738.22
2016,2.5,62158.75749999999,73127.95
2015,3.6,17732.785,20862.1
2015,2.1,26993.3395,31756.87
2012,4.2,58335.959,68630.54
2018,3.8,53438.803,62869.18
2014,4.4,52929.2535,62269.71
2020,4.9,51473.263,60556.78
2015,1.3,24237.8775,28515.15
2018,3.9,51581.723,60684.38
2015,4.0,66289.409,77987.54
2015,3.9,60106.815,70713.9
2011,2.0,51271.32,60319.2
2016,4.9,44056.2565,51830.89
2014,3.7,26378.016,31032.96
2013,1.3,38502.552,45297.12
2016,3.3,57825.984500000006,68030.57
2014,3.6,33103.743,38945.58
2015,1.2,51325.0145,60382.37
2017,1.5,61859.74449999999,72776.17
2019,3.8,65412.72749999999,76956.15
2016,3.1,47500.0315,55882.39
2019,2.0,33005.347,38829.82
2012,3.7,65558.409,77127.54
2017,4.9,60060.1245,70658.97
2013,1.2,46421.9595,54614.07
2019,2.9,17458.303,20539.18
2014,3.3,42353.256,49827.36
2014,4.1,46323.028,54497.68
2012,2.5,55883.4455,65745.23
2015,2.9,42998.3975,50586.35
2020,1.2,67505.58899999999,79418.34
2011,3.9,62337.1555,73337.83
2011,1.5,15513.112,18250.72
2020,2.2,46087.8755,54221.03
2011,3.8,48546.0925,57113.05
2020,3.0,62879.889,73976.34
2011,2.3,24967.832,29373.92
2012,3.8,57873.814,68086.84
2012,4.6,60551.9005,71237.53
2014,1.8,27823.033,32732.98
2020,1.5,28520.9425,33554.05
2013,3.7,51978.4435,61151.11
2017,3.6,53969.2795,63493.27
2015,4.0,19008.023,22362.38
2016,4.4,36903.566,43415.96
2012,1.2,49409.0635,58128.31
2013,2.8,30425.3505,35794.53
2017,2.5,64071.164,75377.84
2012,4.2,37357.0155,43949.43
2015,3.3,25250.9755,29707.03
2015,3.4,17757.2735,20890.91
2017,1.1,57055.1875,67123.75
2020,1.2,40899.4075,48116.95
2015,1.1,44162.566,51955.96
2017,3.8,51708.815,60833.9
2011,4.3,26261.787,30896.22
2020,3.3,22818.2075,26844.95
2020,3.4,57473.056,67615.36
2018,2.5,21959.9455,25835.23
2019,1.4,26541.063,31224.78
2013,4.7,13367.712,15726.72
2016,3.2,67142.2735,78990.91
2014,1.1,13763.319,16192.14
2013,3.7,19485.5105,22924.13
2015,4.4,67778.983,79739.98
2020,3.5,41764.325,49134.5
2011,2.9,58467.488,68785.28
2014,1.2,56745.2435,66759.11
2012,3.8,62992.6245,74108.97
2020,2.6,29612.4785,34838.21
2017,1.2,40804.8195,48005.67
2019,2.3,28210.480000000003,33188.8
2011,2.3,48008.136,56480.16
2011,3.0,53460.2995,62894.47
2020,4.0,31358.2765,36892.09
2012,3.0,45916.983,54019.98
2019,4.1,36462.399,42896.94
2011,1.1,58965.14599999999,69370.76
2017,3.8,40279.035,47387.1
2015,3.2,28400.523,33412.38
2012,1.5,52208.258,61421.48
2011,1.2,40020.533,47082.98
2015,2.3,45233.192,53215.52
2012,3.0,21957.336,25832.16
2012,4.3,59556.34649999999,70066.29
2014,2.3,65965.43149999999,77606.39
2014,2.7,24620.9385,28965.81
2020,3.2,31310.26,36835.6
2016,2.2,37522.442500000005,44144.05
2011,3.2,48416.7395,56960.87
2015,3.2,29573.132,34791.92
2011,2.7,52958.383,62303.98
2017,3.6,63331.154,74507.24
2017,1.3,21309.8655,25070.43
2011,4.9,36214.6835,42605.51
2010,4.3,37579.1035,44210.71
2015,1.3,60395.237,71053.22
2011,2.0,20919.0525,24610.65
2013,4.7,35638.816999999995,41928.02
2014,4.4,65688.9435,77281.11
2014,2.9,60276.77250000001,70913.85
2015,3.0,57432.74049999999,67567.93
2018,4.1,48259.7445,56776.17
2018,4.5,45745.8525,53818.65
2017,1.9,46323.2915,54497.99
2010,1.1,30921.895,36378.7
2019,4.6,42110.224,49541.44
2014,1.7,26572.921,31262.26
2019,2.6,38983.2015,45862.59
2010,2.6,49836.282,58630.92
2011,3.7,37949.525,44646.5
2017,1.6,42740.0315,50282.39
2013,4.4,17408.3485,20480.41
2012,3.4,53764.574,63252.44
2014,4.2,31166.7035,36666.71
2013,3.5,53772.2495,63261.47
2016,2.9,34502.639,40591.34
2020,2.9,59817.6365,70373.69
2016,1.9,25887.073,30455.38
2020,2.8,33941.86,39931.6
2013,2.9,30841.196,36283.76
2010,3.4,33264.954,39135.24
2018,2.7,57167.5915,67255.99
2013,2.2,19610.6815,23071.39
2019,2.6,54270.4005,63847.53
2020,1.1,13758.3125,16186.25
2016,4.3,67063.8525,78898.65
2014,2.5,23708.421,27892.26
2010,1.0,32881.689,38684.34
2020,4.4,17262.123,20308.38
2011,3.5,13706.7515,16125.59
2013,2.1,47314.893,55664.58
2014,1.6,47316.0745,55665.97
2012,3.4,47939.6345,56399.57
2018,2.4,55840.2655,65694.43
2012,3.8,45546.4255,53584.03
2018,4.3,26669.923,31376.38
2017,4.6,42416.479,49901.74
2020,3.2,38315.6965,45077.29
2016,1.5,23817.85,28021.0
2011,1.6,62744.739,73817.34
2017,2.1,26424.0605,31087.13
2015,2.8,34660.212,40776.72
2010,4.5,29276.04,34442.4
2016,1.2,21440.9525,25224.65
2011,1.8,50606.7135,59537.31
2017,3.9,31353.9245,36886.97
2020,1.5,63465.35199999999,74665.12
2013,4.8,53342.532,62755.92
2012,4.8,53906.15,63419.0
2017,3.0,43755.994,51477.64
2011,3.5,48404.729,56946.74
2018,3.9,67963.4245,79956.97
2016,1.6,23879.39,28093.4
2017,3.1,33200.4985,39059.41
2013,4.5,16579.7515,19505.59
2014,3.6,29885.4645,35159.37
2020,1.1,47209.0765,55540.09
2020,2.9,60491.01499999999,71165.9
2015,1.3,20159.756,23717.36
2011,4.2,24441.529,28754.74
2019,3.5,23543.9545,27698.77
2017,1.4,55104.6585,64829.01
2016,2.1,25092.391,29520.46
2016,3.5,52153.7645,61357.37
2013,4.8,65358.455,76892.3
2017,3.1,14288.023999999998,16809.44
2014,1.2,22635.976,26630.56
2017,2.8,35282.8285,41509.21
2020,1.4,25381.102,29860.12
2018,4.7,53936.019,63454.14
2011,3.2,57806.188,68007.28
2020,3.5,21371.533,25142.98
2016,1.4,19536.0005,22983.53
2015,4.6,64171.06449999999,75495.37
2017,4.4,21384.4275,25158.15
2010,1.7,55757.7305,65597.33
2016,2.4,49206.585,57890.1
2018,2.3,66079.969,77741.14
2010,1.1,19605.0205,23064.73
2020,2.3,37789.147,44457.82
2012,3.0,52557.098,61831.88
2016,2.5,40409.255000000005,47540.3
2020,4.2,52689.6385,61987.81
2011,3.5,32474.25,38205.0
2018,2.7,48150.2135,56647.31
2013,1.3,19844.7885,23346.81
2014,2.4,59732.5515,70273.59
2016,1.1,35375.164,41617.84
2014,3.7,48663.571,57251.26
2010,3.5,52646.331,61936.86
2014,3.4,21941.5855,25813.63
2020,1.4,51944.1545,61110.77
2012,3.8,24112.3155,28367.43
2012,3.6,47518.0175,55903.55
2010,3.5,45375.5585,53383.01
2011,2.2,28008.6135,32951.31
2015,1.9,44236.2525,52042.65
2014,2.7,43585.807,51277.42
2010,3.6,50672.8945,59615.17
2014,2.8,26925.9515,31677.59
2010,3.9,54814.6215,64487.79
2013,1.3,24767.2405,29137.93
2012,4.5,45640.869,53695.14
2011,1.7,40865.382,48076.92
2020,1.3,55589.575,65399.5
2017,2.2,36884.968,43394.08
2017,3.9,19978.111,23503.66
2020,2.9,19724.5305,23205.33
