Make,Model,Year,Engine Size (L),Fuel Type,Price (USD),Price (EUR)
BMW,5 Series,2020,3.7,Petrol,79866.56,67886.576
Mercedes-Benz,S-Class,2010,3.5,Diesel,24170.77,20545.1545
Toyota,RAV4,2015,4.5,Diesel,48293.31,41049.3135
BMW,5 Series,2015,2.3,Hybrid,65545.35,55713.5475
Nissan,Versa,2015,2.4,Diesel,15993.89,13594.806499999999
Honda,Accord,2020,2.1,Diesel,78359.84,66605.864
Audi,Q5,2015,3.6,Petrol,39358.11,33454.3935
Volkswagen,Passat,2011,3.5,Diesel,27005.36,22954.556
Volkswagen,Tiguan,2018,1.6,Hybrid,20047.0,17039.95
Hyundai,Elantra,2017,4.5,Petrol,69739.74,59278.779
Honda,CR-V,2011,1.5,Petrol,59744.5,50782.825
Audi,A4,2013,2.3,Electric,61258.2,52069.469999999994
Chevrolet,Equinox,2016,3.3,Diesel,18125.3,15406.505
Audi,A6,2017,3.2,Hybrid,77178.21,65601.4785
Hyundai,Tucson,2014,1.0,Hybrid,63001.2,53551.02
Toyota,Corolla,2015,2.2,Diesel,29886.1,25403.184999999998
Toyota,Highlander,2017,3.0,Electric,54631.63,46436.8855
Toyota,Highlander,2020,2.9,Petrol,26926.1,22887.184999999998
BMW,7 Series,2014,4.3,Diesel,32482.79,27610.3715
Chevrolet,Malibu,2016,3.5,Hybrid,43685.67,37132.8195
Hyundai,Tucson,2018,1.6,Petrol,64286.21,54643.2785
Nissan,Sentra,2019,5.0,Diesel,48372.54,41116.659
Mercedes-Benz,GLC,2013,2.0,Petrol,48920.57,41582.4845
Chevrolet,Equinox,2014,2.4,Hybrid,21424.91,18211.1735
Audi,Q7,2015,2.9,Electric,56160.82,47736.697
Chevrolet,Spark,2019,2.5,Diesel,59249.13,50361.7605
Honda,CR-V,2018,1.4,Hybrid,60765.16,51650.386
Volkswagen,Atlas,2011,3.5,Petrol,50513.45,42936.432499999995
Mercedes-Benz,E-Class,2011,2.7,Diesel,33105.98,28140.083000000002
BMW,X5,2011,2.7,Petrol,31799.16,27029.286
Mercedes-Benz,E-Class,2010,2.5,Diesel,61757.34,52493.738999999994
Nissan,Murano,2016,1.6,Electric,75854.01,64475.90849999999
Honda,Accord,2017,1.9,Hybrid,66993.96,56944.866
BMW,3 Series,2011,2.5,Hybrid,50904.72,43269.012
Mercedes-Benz,GLA,2016,4.8,Electric,46262.72,39323.312
Nissan,Altima,2014,1.9,Diesel,59257.07,50368.5095
Nissan,Rogue,2018,1.7,Hybrid,43444.88,36928.147999999994
Chevrolet,Equinox,2010,4.6,Electric,49276.29,41884.8465
Mercedes-Benz,GLA,2016,1.8,Hybrid,73469.24,62448.854
Hyundai,Tucson,2010,4.1,Electric,37244.64,31657.944
Hyundai,Santa Fe,2015,3.7,Petrol,52899.2,44964.32
Mercedes-Benz,S-Class,2020,2.1,Petrol,67972.98,57777.032999999996
Volkswagen,Jetta,2016,3.5,Hybrid,54433.53,46268.500499999995
Ford,Fiesta,2013,1.3,Diesel,23166.95,19691.9075
Hyundai,Santa Fe,2013,2.4,Hybrid,70716.94,60109.399
Audi,A4,2011,1.1,Petrol,18686.56,15883.576000000001
Chevrolet,Spark,2013,4.2,Electric,55849.67,47472.2195
Hyundai,Sonata,2019,4.6,Hybrid,45396.1,38586.685
Honda,Fit,2013,3.3,Diesel,74057.5,62948.875
Mercedes-Benz,E-Class,2020,1.9,Petrol,77397.76,65788.09599999999
Mercedes-Benz,C-Class,2012,1.4,Petrol,78277.5,66535.875
Hyundai,Sonata,2014,4.8,Electric,42918.61,36480.8185
Ford,Fiesta,2014,5.0,Petrol,63503.33,53977.830500000004
Nissan,Altima,2019,1.8,Electric,69307.47,58911.3495
Toyota,Highlander,2018,1.9,Petrol,27965.04,23770.284
BMW,7 Series,2012,4.0,Hybrid,52868.57,44938.2845
BMW,5 Series,2017,3.2,Electric,30627.12,26033.052
BMW,7 Series,2013,3.5,Petrol,49968.74,42473.429
Mercedes-Benz,E-Class,2016,3.0,Electric,44411.68,37749.928
Honda,Pilot,2010,2.1,Diesel,74766.33,63551.3805
Honda,CR-V,2013,2.5,Diesel,66219.74,56286.779
Mercedes-Benz,E-Class,2012,4.7,Petrol,16147.81,13725.6385
Ford,Fiesta,2013,2.2,Hybrid,51896.84,44112.314
Volkswagen,Passat,2018,4.0,Electric,66462.89,56493.4565
Hyundai,Elantra,2013,2.6,Electric,61638.44,52392.674
Chevrolet,Malibu,2018,3.8,Hybrid,73782.95,62715.50749999999
Nissan,Altima,2012,3.0,Petrol,22072.93,18761.9905
Honda,Fit,2017,4.7,Diesel,42928.93,36489.5905
Hyundai,Kona,2018,3.5,Petrol,79335.1,67434.835
Volkswagen,Passat,2016,4.8,Diesel,39477.01,33555.4585
Honda,Civic,2011,2.5,Diesel,73121.85,62153.5725
Mercedes-Benz,C-Class,2011,4.3,Diesel,58608.07,49816.8595
Honda,Accord,2010,1.5,Electric,52931.11,44991.4435
Toyota,RAV4,2018,2.8,Electric,18546.85,15764.822499999998
Audi,A6,2018,4.7,Diesel,34848.24,29621.003999999997
Ford,Explorer,2012,4.3,Diesel,63025.66,53571.811
Mercedes-Benz,GLA,2018,2.8,Electric,54630.3,46435.755000000005
Volkswagen,Tiguan,2016,4.1,Electric,66183.02,56255.567
Volkswagen,Jetta,2011,3.5,Electric,52851.78,44924.013
Audi,A4,2019,5.0,Diesel,62656.73,53258.2205
Chevrolet,Spark,2012,4.5,Hybrid,64102.36,54487.006
Mercedes-Benz,GLC,2015,3.0,Hybrid,56043.94,47637.349
Ford,Mustang,2017,1.3,Electric,64496.05,54821.6425
Hyundai,Kona,2011,1.7,Diesel,30134.18,25614.053
Volkswagen,Atlas,2010,1.7,Electric,18600.24,15810.204000000002
Audi,Q7,2011,4.1,Hybrid,52269.23,44428.8455
Hyundai,Elantra,2016,4.4,Petrol,57447.68,48830.528
Volkswagen,Atlas,2019,2.0,Hybrid,61056.21,51897.7785
Toyota,Corolla,2014,1.4,Petrol,68904.27,58568.6295
Chevrolet,Tahoe,2012,1.7,Hybrid,42181.69,35854.4365
Hyundai,Tucson,2020,1.2,Electric,74348.26,63196.02099999999
BMW,3 Series,2011,3.9,Diesel,55287.55,46994.4175
Hyundai,Elantra,2020,1.7,Petrol,47384.15,40276.527500000004
Hyundai,Santa Fe,2015,3.9,Electric,67342.15,57240.82749999999
Audi,A4,2018,3.3,Petrol,64058.28,54449.538
BMW,3 Series,2020,2.4,Electric,51412.17,43700.3445
Chevrolet,Impala,2017,1.7,Petrol,54877.7,46646.045
Volkswagen,Golf,2018,4.8,Electric,48419.82,41156.847
Audi,A6,2013,3.4,Diesel,78295.31,66551.0135
BMW,7 Series,2012,2.9,Diesel,61204.66,52023.961
Ford,Explorer,2011,3.9,Electric,55135.44,46865.124
Volkswagen,Jetta,2015,4.0,Diesel,39979.2,33982.32
Hyundai,Sonata,2014,2.5,Electric,69813.72,59341.662
Hyundai,Kona,2015,1.0,Hybrid,37363.56,31759.025999999998
Audi,Q7,2011,3.8,Hybrid,20918.18,17780.453
Mercedes-Benz,GLC,2018,2.7,Hybrid,29417.96,25005.266
Hyundai,Elantra,2018,4.6,Electric,53770.32,45704.772
Volkswagen,Golf,2018,4.1,Electric,22806.07,19385.159499999998
Audi,Q5,2011,3.7,Hybrid,58168.79,49443.4715
BMW,5 Series,2018,1.9,Hybrid,74010.9,62909.26499999999
Mercedes-Benz,C-Class,2018,1.7,Electric,79534.34,67604.189
Mercedes-Benz,GLC,2014,2.6,Diesel,72132.17,61312.3445
Honda,Fit,2013,4.6,Petrol,35111.22,29844.537
Volkswagen,Atlas,2018,2.9,Hybrid,68705.26,58399.47099999999
Mercedes-Benz,C-Class,2019,4.4,Diesel,35713.93,30356.8405
Hyundai,Tucson,2018,1.5,Hybrid,75459.35,64140.4475
BMW,3 Series,2020,3.3,Diesel,52627.76,44733.596
Ford,Explorer,2020,3.6,Diesel,39002.04,33151.734
Mercedes-Benz,GLA,2016,3.3,Petrol,18736.41,15925.948499999999
Mercedes-Benz,C-Class,2020,3.2,Hybrid,40187.19,34159.1115
Ford,Fiesta,2014,2.0,Petrol,36563.26,31078.771
Chevrolet,Malibu,2011,1.9,Hybrid,46911.72,39874.962
Volkswagen,Jetta,2013,3.9,Petrol,35970.28,30574.737999999998
Chevrolet,Impala,2011,2.6,Hybrid,15785.94,13418.049
Audi,A6,2018,4.6,Hybrid,33656.64,28608.144
Mercedes-Benz,S-Class,2015,1.8,Diesel,32014.3,27212.155
Chevrolet,Impala,2018,4.6,Diesel,18284.3,15541.654999999999
Volkswagen,Golf,2011,3.9,Petrol,52641.03,44744.875499999995
Nissan,Sentra,2014,1.9,Petrol,30296.26,25751.820999999996
Mercedes-Benz,GLA,2018,2.5,Diesel,19395.87,16486.4895
Mercedes-Benz,GLA,2019,4.3,Petrol,37136.5,31566.024999999998
Hyundai,Sonata,2020,2.0,Diesel,55923.01,47534.5585
Mercedes-Benz,C-Class,2015,1.5,Electric,62118.25,52800.5125
Audi,Q5,2020,1.3,Hybrid,79408.1,67496.88500000001
Mercedes-Benz,GLC,2019,1.0,Hybrid,23565.15,20030.377500000002
Chevrolet,Spark,2016,3.6,Diesel,62739.94,53328.949
Audi,A4,2015,3.6,Petrol,67283.26,57190.77099999999
BMW,3 Series,2011,1.4,Petrol,72302.22,61456.887
Honda,Civic,2011,4.8,Electric,17106.91,14540.8735
Honda,Civic,2010,4.4,Hybrid,67284.44,57191.774
Volkswagen,Jetta,2011,4.5,Diesel,62759.81,53345.8385
Hyundai,Elantra,2016,2.0,Electric,36270.37,30829.8145
Audi,A3,2016,4.8,Hybrid,60848.89,51721.5565
Honda,Accord,2017,3.2,Diesel,18785.35,15967.547499999999
Mercedes-Benz,E-Class,2020,3.3,Diesel,16849.23,14321.8455
Chevrolet,Spark,2018,1.9,Electric,28990.2,24641.67
Ford,Fiesta,2011,2.6,Diesel,59406.71,50495.703499999996
Toyota,Highlander,2020,4.8,Petrol,33897.95,28813.257499999996
Audi,A3,2014,3.4,Diesel,28486.65,24213.6525
Hyundai,Santa Fe,2020,4.5,Electric,37964.73,32270.020500000002
BMW,X5,2010,4.7,Diesel,71218.99,60536.141500000005
Mercedes-Benz,GLC,2010,2.2,Hybrid,75162.67,63888.269499999995
Toyota,Camry,2019,2.2,Petrol,37125.29,31556.4965
Honda,Pilot,2014,4.8,Diesel,61877.14,52595.568999999996
Hyundai,Elantra,2019,2.1,Hybrid,24746.58,21034.593
Chevrolet,Impala,2011,5.0,Hybrid,54791.49,46572.7665
Mercedes-Benz,S-Class,2013,2.8,Hybrid,63444.96,53928.216
Audi,Q5,2017,1.6,Hybrid,66476.81,56505.288499999995
Hyundai,Tucson,2015,2.3,Electric,44950.16,38207.636
Audi,Q5,2015,1.8,Electric,61172.61,51996.7185
Volkswagen,Tiguan,2012,3.7,Diesel,44764.29,38049.6465
Hyundai,Elantra,2016,1.7,Electric,62793.68,53374.628
Hyundai,Kona,2015,1.9,Petrol,48732.09,41422.27649999999
BMW,X3,2010,2.7,Diesel,66197.34,56267.738999999994
Nissan,Rogue,2015,4.5,Electric,33705.1,28649.335
Ford,Mustang,2012,2.7,Petrol,36094.13,30680.010499999997
Toyota,RAV4,2013,2.2,Petrol,56870.05,48339.5425
Audi,Q5,2013,4.0,Electric,62813.32,53391.322
Mercedes-Benz,S-Class,2018,1.4,Petrol,47153.25,40080.2625
Nissan,Versa,2015,2.6,Hybrid,23638.96,20093.115999999998
Hyundai,Kona,2018,1.3,Hybrid,38037.94,32332.249
BMW,X3,2019,1.9,Diesel,44738.55,38027.7675
Toyota,Camry,2011,2.3,Electric,63897.1,54312.534999999996
Honda,Fit,2020,3.6,Petrol,69699.7,59244.744999999995
Mercedes-Benz,GLC,2016,1.0,Diesel,35355.43,30052.1155
BMW,3 Series,2010,5.0,Petrol,77490.4,65866.84
Honda,CR-V,2018,3.9,Electric,76747.37,65235.2645
BMW,3 Series,2013,4.3,Petrol,60879.05,51747.192500000005
Toyota,RAV4,2013,2.5,Diesel,33190.69,28212.0865
Audi,Q5,2019,3.3,Diesel,16897.7,14363.045
Mercedes-Benz,GLA,2011,1.3,Diesel,16443.13,13976.6605
Mercedes-Benz,C-Class,2014,2.0,Electric,15789.19,13420.8115
Ford,Mustang,2015,4.3,Petrol,32997.25,28047.6625
Hyundai,Santa Fe,2010,2.5,Diesel,41345.39,35143.5815
BMW,3 Series,2015,2.8,Diesel,17536.47,14905.9995
Hyundai,Santa Fe,2019,1.7,Hybrid,58630.84,49836.21399999999
Chevrolet,Malibu,2013,4.2,Electric,54394.78,46235.562999999995
BMW,X5,2014,3.0,Hybrid,61183.51,52005.9835
Chevrolet,Equinox,2016,4.3,Hybrid,73867.31,62787.2135
Ford,Explorer,2012,2.4,Petrol,68291.96,58048.166000000005
Audi,A6,2014,1.5,Diesel,58771.5,49955.775
BMW,5 Series,2017,2.6,Electric,51242.35,43555.9975
Volkswagen,Jetta,2011,1.6,Diesel,78804.77,66984.0545
Toyota,Highlander,2019,4.8,Electric,17255.77,14667.4045
Hyundai,Santa Fe,2020,1.3,Petrol,32848.56,27921.275999999998
Chevrolet,Equinox,2015,4.4,Petrol,53234.11,45248.9935
Hyundai,Elantra,2016,1.3,Hybrid,31995.16,27195.886
Hyundai,Kona,2010,1.8,Electric,72182.45,61355.0825
Nissan,Rogue,2010,1.4,Petrol,28141.33,23920.1305
Mercedes-Benz,C-Class,2019,2.2,Hybrid,78258.62,66519.82699999999
Hyundai,Elantra,2016,3.5,Diesel,19345.18,16443.403
Honda,Pilot,2015,2.1,Diesel,15060.66,12801.561
Ford,Explorer,2013,3.4,Diesel,71743.5,60981.975
Ford,Fiesta,2012,2.1,Electric,46588.71,39600.4035
Chevrolet,Equinox,2016,2.7,Hybrid,74655.18,63456.90299999999
Chevrolet,Impala,2015,1.6,Hybrid,75743.86,64382.280999999995
BMW,X3,2011,2.0,Petrol,76949.0,65406.65
Honda,CR-V,2011,4.0,Petrol,52206.71,44375.703499999996
Nissan,Versa,2013,4.6,Electric,42099.47,35784.5495
Mercedes-Benz,S-Class,2010,2.9,Electric,44631.06,37936.401
Chevrolet,Equinox,2018,4.1,Electric,47509.98,40383.483
Nissan,Sentra,2013,4.6,Hybrid,18010.66,15309.061
Volkswagen,Tiguan,2016,2.3,Petrol,36819.98,31296.983
Nissan,Versa,2014,1.7,Diesel,51353.73,43650.6705
Toyota,RAV4,2020,1.5,Hybrid,27285.97,23193.0745
Hyundai,Tucson,2015,1.6,Electric,30713.45,26106.4325
Mercedes-Benz,E-Class,2012,4.8,Diesel,28012.15,23810.3275
Volkswagen,Golf,2020,3.0,Electric,36986.48,31438.508
Toyota,RAV4,2015,4.7,Petrol,45465.89,38646.006499999996
Chevrolet,Malibu,2013,2.9,Electric,18804.47,15983.799500000001
Volkswagen,Golf,2017,1.6,Diesel,79159.95,67285.95749999999
Nissan,Altima,2016,2.9,Diesel,53820.08,45747.068
Chevrolet,Equinox,2013,4.1,Hybrid,45851.89,38974.1065
BMW,X5,2012,3.0,Diesel,26164.75,22240.0375
Toyota,Camry,2017,2.6,Diesel,78279.87,66537.88949999999
Volkswagen,Tiguan,2020,2.8,Electric,28601.9,24311.615
Honda,CR-V,2017,1.6,Petrol,62006.84,52705.814
Honda,Accord,2010,3.9,Hybrid,32725.25,27816.462499999998
Toyota,Highlander,2018,2.7,Petrol,23416.27,19903.8295
Chevrolet,Tahoe,2015,3.2,Hybrid,27752.01,23589.208499999997
Toyota,Prius,2015,1.1,Petrol,47124.33,40055.6805
Ford,Fiesta,2016,4.9,Electric,52300.99,44455.841499999995
Chevrolet,Malibu,2014,3.7,Diesel,59080.1,50218.085
Chevrolet,Spark,2016,1.0,Hybrid,59074.63,50213.4355
BMW,7 Series,2019,2.9,Diesel,28166.4,23941.440000000002
Chevrolet,Malibu,2017,1.2,Electric,35986.84,30588.813999999995
Chevrolet,Equinox,2011,2.2,Electric,18020.81,15317.6885
Honda,Civic,2012,4.4,Petrol,35764.46,30399.790999999997
Nissan,Versa,2014,4.0,Electric,56424.89,47961.1565
Ford,Focus,2010,4.1,Electric,20209.26,17177.871
Ford,Fiesta,2010,3.7,Hybrid,72156.36,61332.905999999995
BMW,5 Series,2014,4.3,Diesel,21112.25,17945.4125
BMW,X5,2015,3.2,Hybrid,36879.05,31347.1925
Nissan,Versa,2020,2.7,Electric,26191.43,22262.7155
BMW,3 Series,2019,3.8,Diesel,45153.09,38380.1265
Audi,Q5,2013,5.0,Hybrid,16143.89,13722.306499999999
Nissan,Sentra,2010,1.6,Hybrid,40430.27,34365.729499999994
Honda,CR-V,2016,1.9,Diesel,62021.78,52718.513
Volkswagen,Tiguan,2013,2.9,Hybrid,67448.45,57331.182499999995
Hyundai,Sonata,2015,2.2,Petrol,32416.71,27554.2035
BMW,3 Series,2011,2.0,Petrol,19100.19,16235.161499999998
Hyundai,Santa Fe,2010,1.5,Electric,42472.55,36101.6675
Mercedes-Benz,GLC,2019,3.2,Diesel,25167.08,21392.018
Audi,A3,2014,3.2,Diesel,39397.98,33488.283
Mercedes-Benz,E-Class,2013,1.7,Hybrid,44933.03,38193.0755
Mercedes-Benz,C-Class,2014,2.6,Petrol,26630.52,22635.942
Volkswagen,Jetta,2010,4.1,Petrol,48807.26,41486.171
Volkswagen,Golf,2017,4.2,Diesel,46011.86,39110.081
Audi,Q7,2012,2.6,Diesel,24912.41,21175.5485
Volkswagen,Atlas,2016,2.3,Diesel,57559.49,48925.56649999999
Toyota,Prius,2015,1.5,Diesel,15975.2,13578.92
BMW,3 Series,2018,2.9,Hybrid,50166.9,42641.865
Honda,CR-V,2017,3.2,Electric,26375.54,22419.209
Nissan,Versa,2012,2.1,Hybrid,35121.26,29853.071
Mercedes-Benz,GLA,2019,4.4,Diesel,20714.26,17607.121
Mercedes-Benz,GLC,2011,4.3,Diesel,27705.58,23549.743000000002
Honda,CR-V,2017,2.5,Hybrid,25121.36,21353.156
Honda,Pilot,2015,2.0,Electric,62210.41,52878.8485
Hyundai,Santa Fe,2017,1.2,Diesel,70144.96,59623.216
Toyota,Prius,2019,2.0,Hybrid,51878.57,44096.7845
Nissan,Sentra,2018,3.6,Diesel,66671.23,56670.54549999999
Volkswagen,Tiguan,2015,2.3,Hybrid,38816.45,32993.9825
Ford,Fiesta,2015,2.5,Electric,53209.7,45228.244999999995
Audi,A3,2018,4.9,Diesel,41424.01,35210.4085
Toyota,Prius,2018,4.6,Petrol,73156.46,62182.991
Volkswagen,Jetta,2011,2.1,Diesel,28479.13,24207.2605
Nissan,Murano,2020,4.6,Hybrid,50948.91,43306.5735
Mercedes-Benz,GLC,2011,1.6,Electric,30683.29,26080.7965
Toyota,Highlander,2020,4.0,Hybrid,31269.16,26578.786
Toyota,Corolla,2011,2.3,Electric,24297.4,20652.79
Hyundai,Kona,2010,4.5,Petrol,47747.91,40585.7235
Audi,A4,2013,4.3,Diesel,69243.71,58857.1535
Hyundai,Sonata,2015,2.8,Petrol,48178.39,40951.631499999996
Toyota,Corolla,2018,2.9,Diesel,68378.25,58121.5125
Toyota,RAV4,2017,1.3,Diesel,49550.1,42117.585
Nissan,Murano,2013,2.7,Hybrid,16213.96,13781.865999999998
BMW,7 Series,2013,1.4,Electric,56964.83,48420.1055
Toyota,Corolla,2018,4.8,Hybrid,53558.48,45524.708
Nissan,Altima,2019,3.7,Diesel,66857.14,56828.568999999996
Nissan,Altima,2012,1.5,Diesel,45770.3,38904.755000000005
BMW,7 Series,2020,4.2,Petrol,46298.78,39353.962999999996
Nissan,Altima,2018,1.3,Petrol,47923.22,40734.737
Mercedes-Benz,GLA,2019,2.2,Hybrid,28720.78,24412.662999999997
BMW,3 Series,2018,3.7,Petrol,21406.2,18195.27
Toyota,Prius,2010,2.6,Electric,65773.79,55907.72149999999
Nissan,Altima,2014,1.2,Electric,79286.08,67393.168
Toyota,Camry,2017,2.0,Diesel,38719.78,32911.812999999995
Mercedes-Benz,C-Class,2014,3.1,Electric,39802.76,33832.346
Volkswagen,Golf,2019,2.6,Electric,62118.83,52801.0055
Ford,Fiesta,2017,3.1,Hybrid,40018.25,34015.5125
Nissan,Versa,2017,4.1,Electric,29406.27,24995.3295
Ford,Focus,2016,4.6,Diesel,51148.57,43476.2845
Ford,Explorer,2018,5.0,Diesel,35149.69,29877.236500000003
BMW,X5,2020,4.7,Diesel,35899.15,30514.2775
Mercedes-Benz,GLC,2010,1.0,Petrol,42286.51,35943.5335
Chevrolet,Tahoe,2011,2.7,Diesel,29206.07,24825.159499999998
Honda,Accord,2015,4.8,Electric,51890.31,44106.763499999994
Volkswagen,Tiguan,2011,2.9,Diesel,62627.16,53233.086
Hyundai,Kona,2018,2.7,Diesel,57383.1,48775.634999999995
Mercedes-Benz,E-Class,2015,3.1,Hybrid,30253.61,25715.5685
Mercedes-Benz,C-Class,2018,2.1,Diesel,49752.91,42289.9735
Honda,Accord,2014,2.8,Hybrid,32399.64,27539.694
Honda,CR-V,2018,4.6,Petrol,26115.01,22197.758499999996
Chevrolet,Spark,2010,4.3,Diesel,29643.58,25197.043
BMW,X5,2015,2.4,Electric,47768.13,40602.9105
Mercedes-Benz,C-Class,2012,1.8,Electric,57595.23,48955.9455
Chevrolet,Spark,2017,4.1,Electric,50300.59,42755.5015
BMW,X3,2014,4.6,Petrol,43872.1,37291.284999999996
BMW,X5,2011,3.4,Petrol,63217.4,53734.79
Audi,A6,2012,3.7,Petrol,67866.6,57686.61
Chevrolet,Equinox,2014,1.2,Hybrid,27855.73,23677.370499999997
Audi,Q7,2014,3.7,Petrol,52727.38,44818.272999999994
Audi,Q5,2020,2.1,Electric,56704.34,48198.689
Nissan,Rogue,2019,1.3,Hybrid,33354.65,28351.4525
BMW,3 Series,2011,1.5,Diesel,52539.07,44658.2095
BMW,5 Series,2013,3.2,Hybrid,50192.84,42663.914
Nissan,Altima,2011,2.8,Electric,79566.99,67631.9415
Hyundai,Sonata,2020,3.6,Diesel,55747.03,47384.9755
Honda,Fit,2014,3.8,Hybrid,72022.92,61219.481999999996
Audi,A6,2016,2.1,Petrol,72070.13,61259.6105
Hyundai,Santa Fe,2019,4.7,Diesel,26706.56,22700.576
BMW,3 Series,2015,4.2,Petrol,53259.26,45270.371
Ford,Focus,2019,3.4,Diesel,62961.49,53517.2665
Ford,Mustang,2016,1.4,Petrol,26774.82,22758.596999999998
Audi,Q7,2014,2.4,Hybrid,46384.98,39427.233
Toyota,Camry,2013,1.3,Hybrid,45828.42,38954.157
Hyundai,Tucson,2018,4.7,Hybrid,48315.81,41068.4385
Toyota,Camry,2012,4.1,Electric,48614.11,41321.9935
Mercedes-Benz,GLC,2012,3.6,Diesel,69960.06,59466.051
Mercedes-Benz,GLA,2011,2.9,Petrol,78518.75,66740.9375
Chevrolet,Tahoe,2012,4.8,Diesel,63353.87,53850.7895
Nissan,Rogue,2017,4.2,Hybrid,33102.13,28136.810499999996
Chevrolet,Equinox,2020,2.8,Hybrid,23846.2,20269.27
Ford,Mustang,2012,3.3,Hybrid,42982.45,36535.0825
Honda,Civic,2010,4.7,Diesel,41919.08,35631.218
BMW,3 Series,2012,3.1,Petrol,78039.99,66333.9915
Ford,Focus,2019,1.9,Electric,35640.7,30294.594999999998
Volkswagen,Atlas,2010,3.0,Hybrid,28175.7,23949.345
Hyundai,Sonata,2010,2.2,Diesel,36719.24,31211.353999999996
BMW,7 Series,2017,3.2,Petrol,76568.59,65083.301499999994
BMW,X5,2018,3.2,Electric,73947.29,62855.19649999999
Ford,Focus,2020,3.1,Hybrid,45735.2,38874.92
Ford,Explorer,2012,2.4,Petrol,44980.08,38233.068
Ford,Mustang,2014,3.1,Hybrid,37934.74,32244.529
Ford,Focus,2014,1.7,Diesel,69048.93,58691.59049999999
Mercedes-Benz,GLC,2018,2.4,Electric,46096.07,39181.6595
Toyota,Corolla,2020,3.4,Petrol,66046.46,56139.491
Nissan,Versa,2012,2.7,Petrol,40322.91,34274.4735
Ford,Mustang,2010,2.9,Diesel,42522.21,36143.8785
BMW,5 Series,2014,2.6,Electric,23068.26,19608.020999999997
Audi,Q7,2014,1.0,Electric,38072.68,32361.778
Honda,CR-V,2017,1.4,Electric,65750.14,55887.619
Nissan,Rogue,2019,3.5,Hybrid,30600.62,26010.527
Mercedes-Benz,S-Class,2010,4.9,Petrol,23778.49,20211.716500000002
Audi,A3,2011,1.3,Diesel,79500.36,67575.306
Honda,Civic,2015,4.3,Hybrid,46225.73,39291.870500000005
Volkswagen,Passat,2019,2.2,Electric,60677.07,51575.5095
Chevrolet,Equinox,2012,3.8,Diesel,62328.78,52979.462999999996
BMW,7 Series,2019,2.0,Electric,16521.09,14042.9265
Volkswagen,Golf,2017,2.3,Electric,45925.72,39036.862
BMW,X3,2012,4.2,Hybrid,77511.14,65884.469
Mercedes-Benz,C-Class,2018,5.0,Electric,64724.05,55015.442500000005
Toyota,Camry,2020,2.8,Electric,36822.22,31298.887
BMW,3 Series,2014,4.3,Hybrid,72937.97,61997.2745
BMW,3 Series,2018,1.9,Electric,30119.86,25601.881
Hyundai,Elantra,2010,4.3,Petrol,73785.59,62717.7515
Volkswagen,Jetta,2018,3.8,Hybrid,17276.11,14684.6935
Hyundai,Elantra,2020,4.1,Petrol,15592.8,13253.88
Mercedes-Benz,E-Class,2010,3.7,Petrol,58118.53,49400.750499999995
Volkswagen,Passat,2013,4.9,Diesel,28705.38,24399.573
Nissan,Sentra,2017,3.8,Petrol,16569.05,14083.6925
Audi,Q5,2020,1.6,Diesel,26019.32,22116.422
Mercedes-Benz,E-Class,2016,1.5,Diesel,55464.4,47144.74
Ford,Focus,2016,3.3,Petrol,77365.89,65761.0065
